# DealMapper — Master Catalogue Index
# ──────────────────────────────────────────────────────────────────────────────
# Presentation order: Revenue → Operational → People/Legal → Finance → Controls/IT → ESG → Separation
# Format: ITEM-ID | CODE | WORKSTREAM | SECTION | PHASE | PRI | FLAGS | NODE
# Flags:  * = Must-Have   T = TSA-Shadow (active when tsaRequired=yes)   X = Cross-Border
# Generated: 2026-04-23 | Total: 632 items | Must-Haves: 60
# ──────────────────────────────────────────────────────────────────────────────
# Canonical workstream codes:
#   GTM=Go-To-Market  PRD=Product & R&D
#   SCO=Supply Chain & Ops  CAP=Capital Projects  FAC=Facilities  IMO=Integration Mgmt
#   HR=Human Resources  LGL=Legal  COM=Communications
#   TRS=Treasury  OFN=Operational Finance  FPA=FP&A
#   FRC=Financial Reporting & Consolidation  TCA=Technical Accounting
#   TAX=Income Tax  TSA=TSA
#   CTL=Controls  GRC=Governance & Compliance
#   ITG=IT Strategy & Governance  ITE=IT > Enterprise Systems
#   ITI=IT > Infrastructure  ITD=IT > Data & Analytics
#   ITV=IT > IT Vendor Management  ITC=IT > Client-Facing & Digital
#   ESG=ESG  SEP=Carve-Out / Separation
# ──────────────────────────────────────────────────────────────────────────────


# ═══════════════════════════════════════════════════════════════════════════════
# REVENUE TRACK — GTM · PRD
# Focus: customer base, pipeline, brand, pricing, product roadmap, IP, clinical
# ═══════════════════════════════════════════════════════════════════════════════

# ── [GTM] Go-To-Market — 28 items (GTM-0600–GTM-0626 + GTM-0718 TSA-shadow) ──

# Sales Integration
GTM-0600 | GTM | Go-To-Market | Sales Integration          | day_1  | critical | *   |
SCO-0637 | SCO | Supply Chain & Ops | Manufacturing Footprint   | day_90 | high     |     |
# TSA-Shadow
SCO-0721 | SCO | Supply Chain & Ops | TSA Procurement Ops       | day_30 | critical | * T |


# ── [CAP] Capital Projects — 8 items (CAP-0688–CAP-0695) ─────────────────────

CAP-0688 | CAP | Capital Projects | Project Inventory         | day_1  | high     |     |
CAP-0689 | CAP | Capital Projects | Project Inventory         | day_30 | high     |     |
CAP-0690 | CAP | Capital Projects | Contracts & Permits       | day_30 | high     |     |
CAP-0691 | CAP | Capital Projects | Contracts & Permits       | day_30 | high     |   X |
CAP-0692 | CAP | Capital Projects | Contracts & Permits       | day_1  | high     |     |
CAP-0693 | CAP | Capital Projects | Lender & Governance       | day_1  | critical |     |
CAP-0694 | CAP | Capital Projects | Lender & Governance       | day_30 | critical | *   |
CAP-0695 | CAP | Capital Projects | Lender & Governance       | day_60 | high     |     |


# ── [FAC] Facilities — 13 items (FAC-0426–FAC-0438) ──────────────────────────

FAC-0426 | FAC | Facilities | Lease Review               | day_30 | high     |     |
FAC-0427 | FAC | Facilities | Lease Review               | day_30 | high     |     |
FAC-0428 | FAC | Facilities | Office Consolidation       | day_60 | medium   |     |
FAC-0429 | FAC | Facilities | Physical Security          | day_1  | high     |     |
FAC-0430 | FAC | Facilities | Physical Security          | day_30 | high     |     |
FAC-0431 | FAC | Facilities | Access Cards & Badges      | day_1  | critical |     |
FAC-0432 | FAC | Facilities | Mailroom & Logistics       | day_1  | high     |     |
FAC-0433 | FAC | Facilities | Signage & Branding         | day_30 | medium   |     |
FAC-0434 | FAC | Facilities | Environmental Compliance   | day_30 | high     |     |
FAC-0435 | FAC | Facilities | Space Planning             | day_60 | medium   |     |
FAC-0436 | FAC | Facilities | Capital Projects           | day_30 | medium   |     |
FAC-0437 | FAC | Facilities | Lease Negotiation          | day_60 | medium   |     |
FAC-0438 | FAC | Facilities | Subleasing                 | day_90 | low      |     |


# ── [IMO] Integration Management — 35 items (INT-0391–INT-0425) ──────────────

# IMO Setup & Governance
INT-0391 | IMO | Integration Management | IMO Setup              | day_1  | critical | * |
INT-0392 | IMO | Integration Management | IMO Setup              | day_1  | critical | * |
INT-0393 | IMO | Integration Management | Integration Planning   | day_1  | critical |   |
INT-0394 | IMO | Integration Management | SteerCo Reporting      | day_1  | critical |   |
INT-0395 | IMO | Integration Management | Integration Planning   | day_1  | high     |   |
INT-0396 | IMO | Integration Management | Integration Planning   | day_1  | high     |   |
INT-0397 | IMO | Integration Management | Risk Management        | day_1  | critical | * |
INT-0398 | IMO | Integration Management | Risk Management        | day_1  | high     |   |
INT-0399 | IMO | Integration Management | Budget Management      | day_1  | high     |   |
INT-0400 | IMO | Integration Management | Stakeholder Management | day_1  | high     |   |
# Value Capture & Metrics
INT-0415 | IMO | Integration Management | Value Capture          | day_1  | critical |   |
INT-0416 | IMO | Integration Management | Value Capture          | day_30 | high     |   |
INT-0417 | IMO | Integration Management | Value Capture          | day_30 | high     |   |
INT-0418 | IMO | Integration Management | Integration Metrics    | day_1  | high     |   |
INT-0419 | IMO | Integration Management | Integration Metrics    | day_30 | medium   |   |
# Governance Escalation & Resource
INT-0420 | IMO | Integration Management | Lessons Learned        | day_60 | low      |   |
INT-0421 | IMO | Integration Management | Lessons Learned        | year_1 | low      |   |
INT-0422 | IMO | Integration Management | Governance Escalation  | day_1  | critical |   |
INT-0423 | IMO | Integration Management | Governance Escalation  | day_1  | high     |   |
INT-0424 | IMO | Integration Management | Resource Planning      | day_1  | high     |   |
INT-0425 | IMO | Integration Management | Resource Planning      | day_1  | medium   |   |


# ═══════════════════════════════════════════════════════════════════════════════
# PEOPLE & LEGAL TRACK — HR · LGL · COM
# Focus: workforce, org design, labor relations, contracts, litigation, brand
# ═══════════════════════════════════════════════════════════════════════════════

# ── [HR] Human Resources — 22 items (HR-0439–HR-0529 + HR-0653–HR-0663 + HR-0715/HR-0717) ──

# Core Workforce Continuity
HR-0439 | HR  | Human Resources | Payroll Transition         | day_1     | critical | *   |
HR-0440 | HR  | Human Resources | Culture Integration        | day_30    | high     |     |
HR-0441 | HR  | Human Resources | Retention Programs         | day_1     | critical |     |
HR-0442 | HR  | Human Resources | HRIS Migration             | day_60    | high     |     |
HR-0443 | HR  | Human Resources | HR Day 1 Readiness         | day_1     | critical | *   |
HR-0526 | HR  | Human Resources | Payroll Tax                | day_1     | critical |     |
HR-0527 | HR  | Human Resources | Benefits Enrollment        | day_30    | high     |     |
HR-0528 | HR  | Human Resources | Workers Compensation       | day_1     | high     |     |
HR-0529 | HR  | Human Resources | Stock-Based Compensation   | day_1     | critical |     |
# Labor Relations & Org Design
HR-0653 | HR  | Human Resources | Labor Relations            | pre_close | critical | * X |
HR-0654 | HR  | Human Resources | Labor Relations            | pre_close | high     |   X |
HR-0655 | HR  | Human Resources | Org Design & Leadership    | day_1     | critical | *   |
HR-0656 | HR  | Human Resources | Org Design & Leadership    | day_30    | high     |     |
HR-0657 | HR  | Human Resources | Org Design & Leadership    | day_30    | high     |     |
HR-0658 | HR  | Human Resources | Org Design & Leadership    | day_30    | high     |   X |
HR-0659 | HR  | Human Resources | Compliance & Benefits      | day_30    | high     |     |
HR-0660 | HR  | Human Resources | Compliance & Benefits      | day_30    | medium   |     |
HR-0661 | HR  | Human Resources | Compliance & Benefits      | day_1     | high     |     |
HR-0662 | HR  | Human Resources | Compliance & Benefits      | day_90    | high     |     |
# Global Mobility
HR-0663 | HR  | Human Resources | Global Mobility            | day_30    | critical | * X |
# TSA-Shadow
HR-0715 | HR  | Human Resources | TSA HR Obligations         | day_1     | critical | * T X |
HR-0717 | HR  | Human Resources | TSA HR Obligations         | day_90    | critical | * T   |


# ── [LGL] Legal — 30 items (LGL-0490–LGL-0507 + LGL-0671–LGL-0687 + LGL-0724) ──

# Core Contract & Corporate Transition
LGL-0490 | LGL | Legal | Contract Novation                  | day_1     | critical | *   |
LGL-0491 | LGL | Legal | Contract Novation                  | day_1     | critical |     |
LGL-0492 | LGL | Legal | Contract Novation                  | day_1     | critical |     |
LGL-0493 | LGL | Legal | Contract Novation                  | day_1     | critical |     |
LGL-0494 | LGL | Legal | IP & Intangible Transfer           | day_1     | critical |   X |
LGL-0495 | LGL | Legal | IP & Intangible Transfer           | day_1     | high     |     |
LGL-0496 | LGL | Legal | Corporate Governance               | day_1     | critical | *   |
LGL-0497 | LGL | Legal | Corporate Governance               | day_1     | critical |     |
LGL-0498 | LGL | Legal | Material Contract Consent          | day_1     | critical |     |
LGL-0499 | LGL | Legal | Material Contract Consent          | day_1     | critical |     |
LGL-0500 | LGL | Legal | Restrictive Covenants              | day_30    | high     |     |
LGL-0501 | LGL | Legal | Regulatory Licensing               | day_1     | critical | * X |
LGL-0502 | LGL | Legal | Regulatory Licensing               | day_1     | high     |     |
LGL-0503 | LGL | Legal | Warranty & Indemnity               | day_30    | high     |     |
LGL-0504 | LGL | Legal | Warranty & Indemnity               | day_30    | high     |     |
LGL-0505 | LGL | Legal | Deal Mechanics                     | day_1     | high     |     |
LGL-0506 | LGL | Legal | Deal Mechanics                     | day_30    | high     |     |
LGL-0507 | LGL | Legal | Deal Mechanics                     | day_30    | high     |     |
# Antitrust, Environmental & Litigation
LGL-0671 | LGL | Legal | Antitrust & Regulatory Approvals   | pre_close | critical | * X |
LGL-0672 | LGL | Legal | Antitrust & Regulatory Approvals   | pre_close | critical |   X |
LGL-0673 | LGL | Legal | Antitrust & Regulatory Approvals   | pre_close | high     |   X |
LGL-0674 | LGL | Legal | Antitrust & Regulatory Approvals   | day_1     | high     |     |
LGL-0675 | LGL | Legal | Environmental & Product Liability  | day_30    | high     |     |
LGL-0676 | LGL | Legal | Environmental & Product Liability  | day_30    | high     |     |
LGL-0677 | LGL | Legal | Environmental & Product Liability  | day_30    | high     |     |
LGL-0678 | LGL | Legal | Environmental & Product Liability  | day_1     | critical |   X |
LGL-0685 | LGL | Legal | Litigation & Claims                | day_1     | critical | * X |
LGL-0686 | LGL | Legal | Litigation & Claims                | day_30    | high     |     |
LGL-0687 | LGL | Legal | Litigation & Claims                | day_1     | high     |     |
# TSA-Shadow
LGL-0724 | LGL | Legal | TSA Legal Obligations              | pre_close | critical | * T X |


# ── [COM] Communications — 11 items (COM-0508–COM-0519) ──────────────────────

# Employee Communications
COM-0508 | COM | Communications | Employee Communications     | day_1  | critical |   |
COM-0509 | COM | Communications | Employee Communications     | day_1  | high     |   |
COM-0519 | COM | Communications | Employee Communications     | day_30 | medium   |   |
# External Communications
COM-0510 | COM | Communications | External Communications     | day_1  | critical | X |
COM-0511 | COM | Communications | External Communications     | day_1  | high     |   |
COM-0512 | COM | Communications | External Communications     | day_1  | high     | X |
COM-0516 | COM | Communications | External Communications     | day_1  | high     |   |
# Brand Strategy
COM-0513 | COM | Communications | Brand Strategy              | day_30 | high     |   |
COM-0514 | COM | Communications | Brand Strategy              | day_1  | high     |   |
COM-0515 | COM | Communications | Brand Strategy              | day_1  | medium   |   |
# Regulatory Notifications
COM-0518 | COM | Communications | Regulatory Notifications    | day_1  | critical | X |


# ═══════════════════════════════════════════════════════════════════════════════
# FINANCE TRACK — TRS · OFN · FPA · FRC · TCA · TAX · TSA
# Focus: debt, cash, earn-outs, AP/AR, payroll, reporting, PPA, tax, TSA
# Note: All Finance items carry FIN-xxxx prefix (sequential, cross-workstream).
#       Canonical 3-letter code identifies workstream at-a-glance in this index.
# ═══════════════════════════════════════════════════════════════════════════════

# ── [TRS] Treasury — 39 items + FIN-0679–FIN-0684 ────────────────────────────

# Debt & Capital Structure (new)
FIN-0679 | TRS | Treasury | Debt & Capital Structure       | day_1  | critical | *   |
FIN-0680 | TRS | Treasury | Debt & Capital Structure       | day_1  | high     |     |
# Contingent Consideration (new)
FIN-0681 | TRS | Treasury | Contingent Consideration       | day_60 | critical | *   |
FIN-0682 | TRS | Treasury | Contingent Consideration       | day_60 | high     |     |
# Cash Management (new)
FIN-0683 | TRS | Treasury | Cash Management                | day_60 | medium   |     |
FIN-0684 | TRS | Treasury | Cash Management                | day_30 | high     |   X |
# (FIN-0207–FIN-0319: core treasury banking, cash pooling, hedging, insurance — 39 items)


# ── [OFN] Operational Finance — 70 items (FIN-0123–FIN-0190+) ────────────────

# AP/AR Cutoff & Banking
FIN-0123 | OFN | Operational Finance | AP/AR Cutoff               | day_1  | critical |   |
FIN-0124 | OFN | Operational Finance | AP/AR Cutoff               | day_1  | high     |   |
FIN-0125 | OFN | Operational Finance | Banking                    | day_1  | critical |   |
FIN-0126 | OFN | Operational Finance | Banking                    | day_1  | critical |   |
FIN-0127 | OFN | Operational Finance | Payroll                    | day_1  | critical |   |
FIN-0128 | OFN | Operational Finance | Payroll                    | day_30 | high     |   |
FIN-0129 | OFN | Operational Finance | Accounts Payable           | day_1  | high     |   |
FIN-0130 | OFN | Operational Finance | Accounts Receivable        | day_1  | high     |   |
# Fixed Assets
FIN-0131 | OFN | Operational Finance | Fixed Assets               | day_1  | critical |   |
FIN-0132 | OFN | Operational Finance | Fixed Assets               | day_30 | high     |   |
FIN-0133 | OFN | Operational Finance | Fixed Assets               | day_30 | critical |   |
FIN-0134 | OFN | Operational Finance | Fixed Assets               | day_60 | high     |   |
FIN-0135 | OFN | Operational Finance | Fixed Assets               | day_60 | medium   |   |
# Inventory
FIN-0136 | OFN | Operational Finance | Inventory                  | day_1  | critical |   |
FIN-0137 | OFN | Operational Finance | Inventory                  | day_30 | high     |   |
FIN-0138 | OFN | Operational Finance | Inventory                  | day_30 | high     |   |
FIN-0139 | OFN | Operational Finance | Inventory                  | day_60 | high     |   |
FIN-0140 | OFN | Operational Finance | Inventory                  | day_90 | high     |   |
# Lease Administration
FIN-0141 | OFN | Operational Finance | Lease Administration       | day_1  | critical |   |
FIN-0142 | OFN | Operational Finance | Lease Administration       | day_30 | critical |   |
FIN-0143 | OFN | Operational Finance | Lease Administration       | day_30 | high     |   |
FIN-0144 | OFN | Operational Finance | Lease Administration       | day_1  | high     |   |
FIN-0145 | OFN | Operational Finance | Lease Administration       | day_60 | medium   |   |
# Revenue Operations
FIN-0146 | OFN | Operational Finance | Revenue Operations         | day_1  | critical |   |
FIN-0147 | OFN | Operational Finance | Revenue Operations         | day_30 | high     |   |
FIN-0148 | OFN | Operational Finance | Revenue Operations         | day_30 | high     |   |
FIN-0149 | OFN | Operational Finance | Revenue Operations         | day_30 | critical |   |
FIN-0150 | OFN | Operational Finance | Revenue Operations         | day_90 | high     |   |
FIN-0151 | OFN | Operational Finance | Cost Accounting            | day_1  | high     |   |
# TSA-Shadow
FIN-0708 | OFN | Operational Finance | TSA Cash Operations        | day_1  | critical | * T |
# (FIN-0152–FIN-0190: additional OpFin items — cost accounting, intercompany, etc.)


# ── [FPA] FP&A — 33 items (FIN-0096–FIN-0099 + FIN-0517 etc.) ───────────────

FIN-0096 | FPA | FP&A | Management Reporting               | day_60 | high     |   |
FIN-0097 | FPA | FP&A | Management Reporting               | day_30 | medium   |   |
FIN-0098 | FPA | FP&A | Management Reporting               | day_60 | high     |   |
FIN-0099 | FPA | FP&A | Management Reporting               | day_30 | high     |   |
FIN-0517 | FPA | FP&A | Stakeholder Management             | day_1  | critical |   |
FIN-0523 | FPA | FP&A | Equity Compensation Modeling       | day_1  | critical |   |
# (remaining FP&A items: synergy tracking, budget templates, flash reporting)


# ── [FRC] Financial Reporting & Consolidation — 27 items (FIN-0071–FIN-0122+) ─

# Chart of Accounts & Consolidation
FIN-0071 | FRC | Financial Reporting & Consolidation | Chart of Accounts       | day_1  | critical | * |
FIN-0072 | FRC | Financial Reporting & Consolidation | Chart of Accounts       | day_1  | high     |   |
FIN-0073 | FRC | Financial Reporting & Consolidation | Chart of Accounts       | day_30 | high     |   |
FIN-0074 | FRC | Financial Reporting & Consolidation | GAAP Conversion         | day_1  | critical |   |
FIN-0075 | FRC | Financial Reporting & Consolidation | GAAP Conversion         | day_30 | high     |   |
FIN-0076 | FRC | Financial Reporting & Consolidation | First Close             | day_30 | critical |   |
FIN-0077 | FRC | Financial Reporting & Consolidation | Statutory Reporting     | day_1  | high     | X |
FIN-0078 | FRC | Financial Reporting & Consolidation | Statutory Reporting     | day_1  | critical | X |
FIN-0079 | FRC | Financial Reporting & Consolidation | Reporting Calendar      | day_1  | high     |   |
FIN-0080 | FRC | Financial Reporting & Consolidation | Intercompany            | day_30 | high     |   |
# External Audit
FIN-0100 | FRC | Financial Reporting & Consolidation | External Audit          | day_1  | critical |   |
FIN-0101 | FRC | Financial Reporting & Consolidation | External Audit          | day_30 | high     |   |
FIN-0102 | FRC | Financial Reporting & Consolidation | External Audit          | day_30 | high     |   |
FIN-0103 | FRC | Financial Reporting & Consolidation | External Audit          | day_60 | high     |   |
FIN-0104 | FRC | Financial Reporting & Consolidation | External Audit          | day_90 | high     |   |
# SEC Filings
FIN-0105 | FRC | Financial Reporting & Consolidation | SEC Filings             | day_1  | critical |   |
FIN-0106 | FRC | Financial Reporting & Consolidation | SEC Filings             | day_60 | critical |   |
FIN-0107 | FRC | Financial Reporting & Consolidation | SEC Filings             | day_60 | critical |   |
FIN-0108 | FRC | Financial Reporting & Consolidation | SEC Filings             | day_90 | critical |   |
FIN-0109 | FRC | Financial Reporting & Consolidation | SEC Filings             | day_90 | high     |   |
# Currency Translation
FIN-0110 | FRC | Financial Reporting & Consolidation | Currency Translation    | day_1  | high     | X |
FIN-0111 | FRC | Financial Reporting & Consolidation | Currency Translation    | day_30 | high     | X |
FIN-0112 | FRC | Financial Reporting & Consolidation | Currency Translation    | day_60 | medium   | X |
FIN-0113 | FRC | Financial Reporting & Consolidation | Currency Translation    | day_30 | medium   | X |
# Segment Reporting & Consolidation System
FIN-0094 | FRC | Financial Reporting & Consolidation | Segment Reporting       | day_90 | high     |   |
FIN-0121 | FRC | Financial Reporting & Consolidation | Consolidation System    | day_1  | critical |   |
FIN-0122 | FRC | Financial Reporting & Consolidation | Consolidation System    | day_60 | critical | X |


# ── [TCA] Technical Accounting — 27 items (FIN-0081–FIN-0093 + FIN-0114–FIN-0120 + FIN-0520+) ──

# Purchase Price Allocation & Goodwill
FIN-0081 | TCA | Technical Accounting | Purchase Accounting       | day_1  | critical |   |
FIN-0082 | TCA | Technical Accounting | Purchase Accounting       | day_30 | critical |   |
FIN-0083 | TCA | Technical Accounting | Purchase Accounting       | day_30 | critical |   |
FIN-0084 | TCA | Technical Accounting | Purchase Accounting       | year_1 | critical |   |
FIN-0085 | TCA | Technical Accounting | Purchase Accounting       | day_60 | high     |   |
FIN-0086 | TCA | Technical Accounting | Goodwill & Impairment     | day_30 | critical |   |
FIN-0087 | TCA | Technical Accounting | Goodwill & Impairment     | day_60 | high     |   |
FIN-0088 | TCA | Technical Accounting | Goodwill & Impairment     | year_1 | high     |   |
FIN-0089 | TCA | Technical Accounting | Goodwill & Impairment     | year_1 | high     |   |
FIN-0090 | TCA | Technical Accounting | Goodwill & Impairment     | year_1 | medium   |   |
# Segment Reporting
FIN-0091 | TCA | Technical Accounting | Segment Reporting         | day_30 | critical |   |
FIN-0092 | TCA | Technical Accounting | Segment Reporting         | day_60 | high     |   |
FIN-0093 | TCA | Technical Accounting | Segment Reporting         | day_60 | high     |   |
# Lease Accounting (ASC 842)
FIN-0114 | TCA | Technical Accounting | Lease Accounting (ASC 842)| day_1  | high     |   |
FIN-0115 | TCA | Technical Accounting | Lease Accounting (ASC 842)| day_30 | critical |   |
FIN-0116 | TCA | Technical Accounting | Lease Accounting (ASC 842)| day_60 | high     |   |
FIN-0117 | TCA | Technical Accounting | Lease Accounting (ASC 842)| day_60 | medium   |   |
# Revenue Recognition (ASC 606)
FIN-0118 | TCA | Technical Accounting | Revenue Recognition (606) | day_1  | critical |   |
FIN-0119 | TCA | Technical Accounting | Revenue Recognition (606) | day_30 | high     |   |
FIN-0120 | TCA | Technical Accounting | Revenue Recognition (606) | day_30 | high     |   |
# Contingent Consideration, Working Capital, Pension, SBC
FIN-0520 | TCA | Technical Accounting | Contingent Consideration  | day_30 | critical |   |
FIN-0521 | TCA | Technical Accounting | Working Capital           | day_60 | critical |   |
FIN-0522 | TCA | Technical Accounting | Pension & OPEB            | day_30 | high     |   |
FIN-0523 | TCA | Technical Accounting | Stock-Based Compensation  | day_1  | critical |   |
FIN-0524 | TCA | Technical Accounting | Stock-Based Compensation  | day_30 | high     |   |


# ── [TAX] Income Tax — 37 items (FIN-0170–FIN-0206 + FIN-0706 TSA-shadow) ────

FIN-0170 | TAX | Income Tax | Entity Tax Registration        | day_1  | critical | *   |
FIN-0171 | TAX | Income Tax | Consolidated Tax Group         | day_1  | critical | *   |
# (FIN-0172–FIN-0206: income tax compliance, deferred tax, transfer pricing — 35 items)
FIN-0706 | TAX | Income Tax | TSA Tax Obligations            | day_1  | critical | * T X |


# ── [TSA] TSA — 70 items (FIN-0001–FIN-0070) ─────────────────────────────────

# TSA Identification & Governance
FIN-0001 | TSA | TSA | TSA Identification            | day_1  | critical | *   |
FIN-0002 | TSA | TSA | TSA Identification            | day_1  | high     |     |
FIN-0003 | TSA | TSA | TSA Pricing                   | day_1  | high     |     |
FIN-0004 | TSA | TSA | TSA Exit Planning             | day_1  | critical | *   |
FIN-0005 | TSA | TSA | TSA Exit Planning             | day_30 | critical | *   |
FIN-0006 | TSA | TSA | TSA Governance                | day_1  | high     |     |
FIN-0007 | TSA | TSA | TSA Governance                | day_30 | medium   |     |
FIN-0008 | TSA | TSA | IT TSA                        | day_1  | critical | *   |
FIN-0009 | TSA | TSA | IT TSA                        | day_1  | critical | *   |
FIN-0010 | TSA | TSA | Finance TSA                   | day_1  | critical | *   |
FIN-0011 | TSA | TSA | Finance TSA                   | day_1  | high     |     |
FIN-0012 | TSA | TSA | TSA Stranded Cost             | day_60 | high     |     |
FIN-0013 | TSA | TSA | Cross-Border TSA              | day_1  | high     |   X |
FIN-0014 | TSA | TSA | TSA Exit Planning             | day_30 | critical | *   |
FIN-0015 | TSA | TSA | HR TSA                        | day_1  | critical | *   |
